filmName,realName,realGender,filmBudget,firstFilm,year
Les Frères Sisters,Audiard Jacques,M,34.91,false,2018
Astérix et le secret de la potion magique,Astier Alexandre / Clichy Louis,M,33.71,false,2018
Le Prince oublié,Hazanavicius Michel,M,24.89,false,2018
Benedetta,Verhoeven Paul,M,19.84,false,2018
Alad'2,Steketee Lionel,M,19.83,false,2018
Silvio et les autres,Sorrentino Paolo,M,19.12,false,2018
Le Chant du loup,Baudry Antonin,M,18.76,true,2018
Nicky Larson et le parfum de Cupidon,Lacheau Philippe,M,18.66,false,2018
Qu'est-ce qu'on a encore fait au bon Dieu ?,De Chauveron Philippe,M,16.97,false,2018
Nous finirons ensemble,Canet Guillaume,M,16.34,false,2018
All inclusive,Onteniente Fabien,M,15.40,false,2018
Le Dindon,Lespert Jalil,M,13.92,false,2018
Les Petites victoires,Nakache Olivier / Toledano Eric,M,13.06,false,2018
Ibiza,Lemort Arnaud,M,12.54,false,2018
L’Oiseau et l'Enfant,Vanier Nicolas,M,11.88,false,2018
"Vic le viking, le film",Cazes Eric,M,11.51,false,2018
Edmond,Michalik Alexis,M,10.94,true,2018
La Belle époque,Bedos Nicolas,M,9.77,false,2018
Les Traducteurs,Roinsard Régis,M,9.77,false,2018
Tanguy 2,Chatiliez Etienne,M,9.51,false,2018
Chamboultout,Lavaine Eric,M,9.31,false,2018
Mon chien stupide,Attal Yvan,M,9.22,false,2018
Fahim,Martin Laval Pierre-François,M,9.05,false,2018
Les Footeuses,Hamidi Mohamed,M,8.64,false,2018
Jusqu'ici tout va bien,Hamidi Mohamed,M,8.43,false,2018
Samsam,De Kermel Tanguy,M,8.06,true,2018
Divorce club,Youn Michaël,M,8.00,false,2018
Toute ressemblance,Denisot Michel,M,7.96,true,2018
Play,Marciano Anthony,M,7.88,false,2018
Le Gendre de ma vie,Desagnat François,M,7.75,false,2018
Lukas,Leclercq Julien,M,7.51,false,2018
Le Mystère Henri Pick,Bezancon Rémi,M,7.41,false,2018
Blanche comme neige,Fontaine Anne,F,7.31,false,2018
"Neuilly sa mère, sa mère",Bensalah Djamel / Julien-Laferriere Gabriel,M,7.27,false,2018
Mon inconnue,Gelin Hugo,M,7.17,false,2018
Mon bébé,Azuelos Lisa,F,6.97,false,2018
La Vérité,Koreeda Hirokazu,M,6.91,false,2018
