year,filmName,realName,realGender,filmBudget,firstFilm
2008,THE PRODIGIES,CHARREYRON Antoine,M,21.54,true
2008,COCO,ELMALEH Gad,M,14.54,true
2008,MISSIONNAIRE (LE),DELATTRE Roger,M,9.41,true
2008,CYPRIEN,CHARHON David,M,9.20,true
2008,HERISSON (LE),ACHACHE Mona,F,9.00,true
2008,BOUQUET FINAL,DELGADO Michel,M,8.00,true
2008,DERNIER POUR LA ROUTE (LE),GODEAU Philippe,M,7.86,true
2008,ESPION(S),SAADA Nicolas,M,7.18,true
2008,JE VAIS TE MANQUER,STHERS Amanda,F,6.53,true
2008,UNE VIE DE CHAT,GAGNOL Alain / FELICIOLI Jean-Loup,M,5.05,true
2008,NEUILLY SA MERE !,LAFERRIERE Gabriel,M,4.99,true
2008,PREMIÈRE ÉTOILE (LA),JEAN BAPTISTE Lucien,M,4.66,true
2008,HUMAINS,THEVENIN Pierre-Olivier / MOLON Jacques-Olivier,M,4.50,true
2008,JOUEUSE,BOTTARO Caroline,F,4.26,true
2008,BEAUX GOSSES (LES),SATTOUF Riad,M,4.22,true
2008,COMME LES AUTRES,GARENQ Vincent,M,3.99,true
2008,VIE SAUVAGE DES ANIMAUX DOMESTIQUES (LA),GARING Dominique,M,3.99,true
2008,COMPLICES,MERMOUD Frederic,M,3.35,true
2008,BEL AGE (LE),PERREAU Laurent,M,3.30,true
2008,LIGNES DE FRONT,KLOTZ Jean-Christophe,M,3.15,true
2008,HOMME DE CHEVET (L'),MONNE Alain,M,3.12,true
2008,TEMPS DE LA KERMESSE EST TERMINÉ (LE),CHIGNAC Frederic,M,3.11,true
2008,ULTIMATUM,TASMA Alain,M,3.11,true
2008,CARRE BLANC,LEONETTI Jean-Baptiste,M,3.06,true
2008,ADIEU GARY,AMAOUCHE Nassim,M,3.01,true
2008,"ALLEZ, RACONTE !",ROGER Jean-Christophe,M,2.87,true
2008,HORDE (LA),DAHAN Yannick / ROCHER Benjamin,M,2.85,true
2008,ORPAILLEUR,BARRAT Marc,M,2.83,true
2008,DIFFÉRENCE C'EST QUE C'EST PAS PAREIL (LA),LAETHIER Pascal,M,2.82,true
2008,BONOBOS,TIXIER Alain,M,2.70,true
2008,BRUIT DES GENS AUTOUR (LE ),DIASTEME,M,2.51,true
2008,POUR UN FILS,DE MAISTRE Alix,F,2.43,true
2008,CENDRES ET SANG,ARDANT Fanny,F,2.41,true
2008,J'AI OUBLIÉ DE TE DIRE,VINAS-RAYMOND Laurent,M,2.36,true
2008,FEMME INVISIBLE (LA),TEYSSIER Agathe,F,2.19,true
2008,TABARLY,MARCEL Pierre,M,2.10,true
2008,DANS TON SOMMEIL,DU POTET Eric / DU POTET Caroline,F/M,2.01,true
2008,QU'UN SEUL TIENNE ET LES AUTRES SUIVRONT…,FEHNER Lea,F,1.95,true
2008,JOUR OU DIEU EST PARTI EN VOYAGE (LE),VAN LEEUW Philippe,M,1.90,true
2008,8 FOIS DEBOUT,MOLIA Xabi,M,1.81,true
2008,SOMMEIL BLANC,GUYON Jean-Paul,M,1.63,true
2008,JE NE DIS PAS NON,LOLITCH Iliana,F,1.53,true
2008,CHAQUE JOUR EST UNE FÊTE,EL-HORR Dima,F,1.52,true
2008,FIL (LE),BEN ATTIA Mehdi,M,1.52,true
2008,AU VOLEUR,PETIT Sarah,F,1.51,true
2008,DOMAINE,CHIHA Patric,M,1.51,true
2008,TEMPS D'UN REGARD (LE),FLAMMER Ilan,M,1.31,true
2008,BEAUTIFUL VALLEY,FRIEDLICH Hadar,F,1.25,true
2008,SEL DE LA MER (LE),JACIR Annemarie,F,1.20,true
2008,J'IRAI DORMIR A HOLLYWOOD,DE MAXIMY Antoine,M,1.09,true
2008,ENFANCE DU MAL (L'),COUSSEMACQ Olivier,M,1.07,true
2008,ENFER DE HENRI-GEORGES CLOUZOT (L'),MEDREA Ruxandra / BROMBERG Serge,F/M,1.03,true
2008,AVANT-POSTE,PARRAUD Emmanuel,M,1.03,true
2008,POURSUITE,DEAK Marina,F,0.97,true
2008,APPEL DES ARENES (L'),NDIAYE Cheikh,M,0.85,true
2008,MOVEON.ORG,STEVENSON Scott / JORDANOV Alex,M,0.85,true
2008,LIGNE BLANCHE (LA),TORRES Olivier,M,0.78,true
2008,FIX ME,ANDONI Raed,M,0.70,true
2008,GERBOISE BLEUE,OUAMAB Djamel,M,0.68,true
2008,TEMPS DES GRACES (LE),MARCHAIS Dominique,M,0.66,true
2008,13 M²,GROSSMAN Barthélémy,M,0.61,true
